method,risk_delivery,p95_latency_ms,cvr,bearer_count,overhead,campaign,level,outage_mode,rho,network_brier,network_ece,network_auprc,median_latency_ms,p99_latency_ms,action_fraction_cbs,action_fraction_backup,action_fraction_dual
AI_BEWARN,0.8505060336543171,249.97912711039086,0.22962962962962963,1.4133333333333333,0.7066666666666667,congestion,0.3,iid,0.0,0.04182207181944336,0.006818805109584733,0.9780634166558522,188.26329180855765,287.017709323437,0.585925925925926,0.0007407407407407407,0.41333333333333333
CBS_ONLY,0.7501230334179373,223.40856973096808,0.4237037037037037,1.0,0.5,congestion,0.3,iid,0.0,0.04182207181944336,0.006818805109584733,0.9780634166558522,181.2256520459997,243.4959181419507,1.0,0.0,0.0
FIXED_DUAL,0.8753011670268155,249.97912711039086,0.20148148148148148,2.0,1.0,congestion,0.3,iid,0.0,0.04182207181944336,0.006818805109584733,0.9780634166558522,188.4470855057307,294.5595829286347,0.0,0.0,1.0
INDEPENDENCE,0.8506503549335939,249.97912711039086,0.2288888888888889,1.414074074074074,0.707037037037037,congestion,0.3,iid,0.0,0.04182207181944336,0.006818805109584733,0.9780634166558522,188.26329180855765,287.017709323437,0.585925925925926,0.0,0.4140740740740741
ORACLE,0.8546861442074136,251.84286462118104,0.20148148148148148,1.4066666666666667,0.7033333333333334,congestion,0.3,iid,0.0,0.04182207181944336,0.006818805109584733,0.9780634166558522,188.37391804870543,294.5595829286347,0.5733333333333334,0.02,0.4066666666666667
RULE,0.7815792822326283,230.02749420391243,0.36814814814814817,1.248888888888889,0.6244444444444445,congestion,0.3,iid,0.0,0.04182207181944336,0.006818805109584733,0.9780634166558522,182.4126126361713,258.76692243420274,0.7511111111111111,0.0,0.24888888888888888
AI_BEWARN,0.8398771753405535,331.23135671487717,0.2607407407407407,1.4392592592592592,0.7196296296296296,congestion,0.6,iid,0.0,0.05520503434292854,0.007985568818121503,0.9671781011231236,263.37945194883696,368.1834092308514,0.5592592592592592,0.0014814814814814814,0.43925925925925924
CBS_ONLY,0.7349860369320104,303.51253474659836,0.46444444444444444,1.0,0.5,congestion,0.6,iid,0.0,0.05520503434292854,0.007985568818121503,0.9671781011231236,256.44157107575745,328.1174213915804,1.0,0.0,0.0
FIXED_DUAL,0.8693734208424638,330.609081458904,0.21407407407407408,2.0,1.0,congestion,0.6,iid,0.0,0.05520503434292854,0.007985568818121503,0.9671781011231236,262.1209570051818,368.1834092308514,0.0,0.0,1.0
INDEPENDENCE,0.8398771753405535,331.23135671487717,0.2607407407407407,1.4407407407407407,0.7203703703703703,congestion,0.6,iid,0.0,0.05520503434292854,0.007985568818121503,0.9671781011231236,263.37945194883696,368.1834092308514,0.5592592592592592,0.0,0.44074074074074077
ORACLE,0.8472038089763336,334.9074233107285,0.21407407407407408,1.4237037037037037,0.7118518518518518,congestion,0.6,iid,0.0,0.05520503434292854,0.007985568818121503,0.9671781011231236,264.1687701104486,368.3523700314124,0.5296296296296297,0.04666666666666667,0.4237037037037037
RULE,0.7691381320427051,309.9110944122825,0.3977777777777778,1.248888888888889,0.6244444444444445,congestion,0.6,iid,0.0,0.05520503434292854,0.007985568818121503,0.9671781011231236,258.0942447400129,352.4687057805056,0.7511111111111111,0.0,0.24888888888888888
AI_BEWARN,0.8308331384911158,381.7656774562624,0.2866666666666667,1.4437037037037037,0.7218518518518519,congestion,0.8,iid,0.0,0.06362981978548198,0.0020103160588863583,0.9560861367291718,312.0693744297154,422.35367492173185,0.5511111111111111,0.005185185185185185,0.4437037037037037
CBS_ONLY,0.7232190120742167,357.09961915638405,0.4822222222222222,1.0,0.5,congestion,0.8,iid,0.0,0.06362981978548198,0.0020103160588863583,0.9560861367291718,305.02815307199165,392.1848235881859,1.0,0.0,0.0
FIXED_DUAL,0.8646346649804518,380.7699810912216,0.23185185185185186,2.0,1.0,congestion,0.8,iid,0.0,0.06362981978548198,0.0020103160588863583,0.9560861367291718,307.87966560206274,420.09538861468883,0.0,0.0,1.0
