method,risk_delivery,p95_latency_ms,cvr,bearer_count,overhead,campaign,level,outage_mode,rho,network_brier,network_ece,network_auprc,median_latency_ms,p99_latency_ms,action_fraction_cbs,action_fraction_backup,action_fraction_dual
AI_BEWARN,0.7105542175006444,578.6037802719528,0.4674074074074074,1.6318518518518519,0.8159259259259259,cross_bearer_correlation,0.0,spatial,0.0,0.04865167270194412,0.0005348742256563589,0.953811205969832,396.5450694807566,634.7972145254204,0.3244444444444444,0.0437037037037037,0.6318518518518519
CBS_ONLY,0.5014275548734192,551.4654797385751,0.6962962962962963,1.0,0.5,cross_bearer_correlation,0.0,spatial,0.0,0.04865167270194412,0.0005348742256563589,0.953811205969832,371.98099509678013,601.7938877135746,1.0,0.0,0.0
FIXED_DUAL,0.7270383461399992,575.1197714528088,0.43851851851851853,2.0,1.0,cross_bearer_correlation,0.0,spatial,0.0,0.04865167270194412,0.0005348742256563589,0.953811205969832,392.0756637392778,634.7972145254204,0.0,0.0,1.0
INDEPENDENCE,0.7105542175006444,578.6037802719528,0.4674074074074074,1.6318518518518519,0.8159259259259259,cross_bearer_correlation,0.0,spatial,0.0,0.04865167270194412,0.0005348742256563589,0.953811205969832,396.5450694807566,634.7972145254204,0.3244444444444444,0.0437037037037037,0.6318518518518519
ORACLE,0.7144970511202409,578.1640727349195,0.43851851851851853,1.565925925925926,0.782962962962963,cross_bearer_correlation,0.0,spatial,0.0,0.04865167270194412,0.0005348742256563589,0.953811205969832,397.5565493729371,635.9943221386922,0.29703703703703704,0.13703703703703704,0.5659259259259259
RULE,0.5603255531056092,559.8277863451265,0.6192592592592593,1.248888888888889,0.6244444444444445,cross_bearer_correlation,0.0,spatial,0.0,0.04865167270194412,0.0005348742256563589,0.953811205969832,377.25910958985247,604.3418163894671,0.7511111111111111,0.0,0.24888888888888888
AI_BEWARN,0.6772555393031077,579.3487522733355,0.542962962962963,1.6785185185185185,0.8392592592592593,cross_bearer_correlation,0.3,spatial,0.3,0.04825227437540798,0.0008919221587900589,0.954255108180224,392.4629806743717,653.222756074964,0.2866666666666667,0.03481481481481481,0.6785185185185185
CBS_ONLY,0.49638523028105475,549.5217336196691,0.7281481481481481,1.0,0.5,cross_bearer_correlation,0.3,spatial,0.3,0.04825227437540798,0.0008919221587900589,0.954255108180224,375.5951582742295,610.9628948195445,1.0,0.0,0.0
FIXED_DUAL,0.6932496166912894,575.9151285448179,0.5177777777777778,2.0,1.0,cross_bearer_correlation,0.3,spatial,0.3,0.04825227437540798,0.0008919221587900589,0.954255108180224,388.3174081624708,655.7565617125603,0.0,0.0,1.0
INDEPENDENCE,0.6772555393031077,579.3487522733355,0.542962962962963,1.6792592592592592,0.8396296296296296,cross_bearer_correlation,0.3,spatial,0.3,0.04825227437540798,0.0008919221587900589,0.954255108180224,392.4629806743717,653.222756074964,0.2866666666666667,0.034074074074074076,0.6792592592592592
ORACLE,0.681606467151955,579.4344707071252,0.5177777777777778,1.6288888888888888,0.8144444444444444,cross_bearer_correlation,0.3,spatial,0.3,0.04825227437540798,0.0008919221587900589,0.954255108180224,392.4629806743717,655.7565617125603,0.25555555555555554,0.11555555555555555,0.6288888888888889
RULE,0.5486975626934923,556.2841875322251,0.6681481481481482,1.248888888888889,0.6244444444444445,cross_bearer_correlation,0.3,spatial,0.3,0.04825227437540798,0.0008919221587900589,0.954255108180224,381.4764115996373,640.3464988907936,0.7511111111111111,0.0,0.24888888888888888
AI_BEWARN,0.6398745499624763,578.7164755976071,0.5562962962962963,1.6874074074074075,0.8437037037037037,cross_bearer_correlation,0.6,spatial,0.6,0.048556824597244815,0.0013005756810353071,0.9538476943326917,389.284206293073,659.5578167499424,0.28444444444444444,0.028148148148148148,0.6874074074074074
CBS_ONLY,0.49704491600298256,550.5396786330647,0.7318518518518519,1.0,0.5,cross_bearer_correlation,0.6,spatial,0.6,0.048556824597244815,0.0013005756810353071,0.9538476943326917,376.19735259190605,599.7027459077043,1.0,0.0,0.0
FIXED_DUAL,0.6574515693674183,573.2415565250808,0.5222222222222223,2.0,1.0,cross_bearer_correlation,0.6,spatial,0.6,0.048556824597244815,0.0013005756810353071,0.9538476943326917,385.6354300802408,657.6003049048269,0.0,0.0,1.0
INDEPENDENCE,0.6398745499624763,578.7164755976071,0.5562962962962963,1.6881481481481482,0.8440740740740741,cross_bearer_correlation,0.6,spatial,0.6,0.048556824597244815,0.0013005756810353071,0.9538476943326917,389.284206293073,659.5578167499424,0.28444444444444444,0.027407407407407408,0.6881481481481482
ORACLE,0.645580873165681,580.5696156036756,0.5222222222222223,1.654074074074074,0.827037037037037,cross_bearer_correlation,0.6,spatial,0.6,0.048556824597244815,0.0013005756810353071,0.9538476943326917,389.284206293073,658.5186097052235,0.25333333333333335,0.09259259259259259,0.654074074074074
RULE,0.535908248136829,554.5649392500922,0.682962962962963,1.248888888888889,0.6244444444444445,cross_bearer_correlation,0.6,spatial,0.6,0.048556824597244815,0.0013005756810353071,0.9538476943326917,378.32105928282937,610.1045623349154,0.7511111111111111,0.0,0.24888888888888888
AI_BEWARN,0.6115967402338459,579.9587909036702,0.5703703703703704,1.6903703703703703,0.8451851851851852,cross_bearer_correlation,0.9,spatial,0.9,0.048370638033738464,0.0008270172983447556,0.954504413475868,385.5565913970581,644.8285792581455,0.2859259259259259,0.023703703703703703,0.6903703703703704
CBS_ONLY,0.5087917903014237,550.3449531403575,0.7192592592592593,1.0,0.5,cross_bearer_correlation,0.9,spatial,0.9,0.048370638033738464,0.0008270172983447556,0.954504413475868,373.92909077380324,609.6300983170843,1.0,0.0,0.0
FIXED_DUAL,0.6306891653281044,569.5112925496421,0.5355555555555556,2.0,1.0,cross_bearer_correlation,0.9,spatial,0.9,0.048370638033738464,0.0008270172983447556,0.954504413475868,381.7896450126387,643.8915959689838,0.0,0.0,1.0
INDEPENDENCE,0.6115967402338459,579.9587909036702,0.5703703703703704,1.6903703703703703,0.8451851851851852,cross_bearer_correlation,0.9,spatial,0.9,0.048370638033738464,0.0008270172983447556,0.954504413475868,385.5565913970581,644.8285792581455,0.2859259259259259,0.023703703703703703,0.6903703703703704
ORACLE,0.6164438472076682,575.4741350490459,0.5355555555555556,1.671851851851852,0.835925925925926,cross_bearer_correlation,0.9,spatial,0.9,0.048370638033738464,0.0008270172983447556,0.954504413475868,386.04810752860357,643.8915959689838,0.2733333333333333,0.054814814814814816,0.6718518518518518
RULE,0.5422986959357042,557.353761844865,0.6718518518518518,1.248888888888889,0.6244444444444445,cross_bearer_correlation,0.9,spatial,0.9,0.048370638033738464,0.0008270172983447556,0.954504413475868,375.6470401532938,625.1089740510752,0.7511111111111111,0.0,0.24888888888888888
